attendance_percentage,assignment_average,test_average,lms_login_count,risk_level,outcome
90.98,62.47,70.89,63,Low,1
85.9,73.5,80.6,50,Low,1
75.48,69.53,59.09,62,Medium,1
42.17,51.0,57.35,33,High,0
33.16,46.95,29.89,4,High,0
79.51,87.16,69.76,73,Low,1
55.28,58.79,71.76,5,Medium,1
74.76,68.83,62.27,90,Medium,1
56.26,57.97,81.12,47,Medium,1
94.66,67.0,59.55,78,Medium,1
82.22,75.02,68.75,61,Low,1
76.99,69.26,64.22,65,Low,1
85.12,73.32,74.14,69,Low,1
59.67,58.99,63.27,14,Medium,1
59.35,47.98,58.08,2,Medium,1
61.93,64.39,36.72,34,High,1
63.51,53.93,48.38,44,Medium,1
72.72,33.28,46.23,41,Medium,0
44.04,41.07,43.34,26,High,0
66.14,53.12,50.24,39,Medium,1
42.92,61.61,52.03,46,High,1
92.41,59.03,68.84,65,Low,1
80.09,80.58,80.03,66,Low,1
45.44,22.26,51.87,16,High,0
74.66,58.82,49.64,39,Medium,1
56.83,58.72,49.75,40,Medium,1
92.3,70.44,68.15,56,Low,1
74.74,62.13,75.64,25,Medium,1
83.36,80.68,63.98,30,Low,1
91.44,59.09,62.98,40,Low,1
67.5,46.6,40.24,57,High,1
43.2,28.12,35.36,14,High,0
59.12,56.67,66.78,28,Medium,1
14.15,24.52,20.16,11,High,0
73.0,72.81,71.94,45,Medium,1
80.74,88.79,82.14,60,Low,1
82.01,75.27,65.9,67,Low,1
50.09,33.12,29.89,13,High,0
78.89,31.41,32.14,20,High,0
83.63,62.74,65.0,48,Low,1
85.88,67.82,71.2,65,Low,1
57.72,52.75,60.38,20,Medium,1
88.51,66.48,74.11,68,Low,1
73.94,78.74,69.21,69,Medium,1
72.07,67.47,83.84,38,Medium,1
70.7,57.34,87.27,68,Medium,1
74.72,57.69,51.31,51,Medium,1
87.38,75.37,70.34,65,Low,1
68.96,78.41,90.05,75,Medium,1
86.22,76.05,80.84,89,Low,1
80.74,80.45,75.45,29,Low,1
66.99,51.88,39.53,23,High,0
70.74,40.46,77.89,31,Medium,1
83.43,69.39,73.1,103,Low,1
79.18,75.94,73.62,59,Low,1
81.62,79.66,66.94,74,Low,1
67.9,83.15,60.13,61,Medium,1
66.2,63.6,66.89,45,Medium,1
69.79,73.54,79.37,67,Medium,1
39.44,39.53,45.86,14,High,0
70.76,78.01,62.62,84,Medium,1
83.08,85.58,73.77,80,Low,1
25.81,47.03,46.27,14,High,0
76.53,92.39,68.73,58,Low,1
75.02,80.35,69.3,52,Low,1
73.59,73.72,74.11,88,Medium,1
80.67,67.4,92.79,55,Low,1
81.21,51.62,49.16,27,Medium,1
60.04,56.32,50.89,20,Medium,1
90.39,69.58,77.7,68,Low,1
56.6,59.65,51.01,42,Medium,1
75.84,56.23,46.22,18,Medium,1
56.59,57.92,62.64,22,Medium,0
56.3,53.11,66.49,43,Medium,1
83.92,76.44,80.4,71,Low,1
50.58,52.8,52.2,25,High,1
79.04,67.33,65.79,72,Low,1
69.0,59.91,55.51,18,Medium,1
79.95,60.14,57.93,30,Medium,1
82.38,78.86,73.68,58,Low,1
79.1,75.4,55.71,79,Medium,1
43.53,33.29,41.9,26,High,0
47.99,53.94,41.47,32,High,0
89.9,75.95,66.92,45,Low,1
39.33,26.24,35.51,19,High,0
95.28,73.64,74.19,61,Low,1
82.59,72.16,80.55,59,Low,1
81.77,76.74,76.11,73,Low,1
55.56,61.23,68.74,40,Medium,1
81.6,68.59,88.21,64,Low,1
69.27,78.52,66.29,79,Medium,1
81.8,70.38,50.19,41,Medium,1
68.72,62.79,54.73,28,Medium,1
37.16,39.96,21.94,26,High,0
56.24,58.38,52.04,33,Medium,1
76.14,88.38,77.77,56,Low,1
84.2,67.61,88.31,70,Low,1
50.18,52.59,30.04,24,High,0
85.21,91.46,68.67,68,Low,1
59.71,57.76,78.56,55,Medium,1
72.98,78.51,67.48,68,Medium,1
63.89,53.17,72.31,20,Medium,1
23.26,64.02,35.63,28,High,0
59.27,72.77,70.18,27,Medium,1
68.24,55.09,36.84,34,High,1
75.62,69.49,35.86,30,High,1
51.69,25.05,51.4,8,High,0
79.82,74.61,60.45,79,Low,1
87.19,62.86,64.45,72,Low,1
91.78,77.06,75.87,80,Low,1
79.38,69.59,72.44,54,Low,1
29.58,40.94,11.02,21,High,0
65.19,97.5,64.16,71,Medium,1
71.44,51.76,76.05,32,Medium,1
64.69,78.03,65.59,38,Medium,1
42.81,53.27,52.43,19,High,0
75.83,76.37,81.05,61,Low,1
79.35,55.56,65.6,49,Low,1
50.66,47.62,53.77,11,High,1
73.77,65.23,59.04,88,Medium,1
69.58,71.57,60.36,55,Medium,1
58.0,51.12,79.78,46,Medium,1
60.46,57.8,42.28,16,High,1
46.76,71.84,61.2,42,High,1
38.97,44.71,34.54,18,High,0
74.4,66.09,62.07,67,Medium,1
94.12,80.18,66.57,41,Low,1
63.41,59.05,40.33,27,High,1
78.97,57.25,48.63,35,Medium,1
66.39,58.49,55.45,26,Medium,1
76.49,54.99,51.97,44,Medium,1
76.39,71.64,83.23,54,Low,1
87.23,45.62,60.77,26,Low,1
85.63,74.35,70.68,79,Low,1
93.68,60.52,74.83,64,Low,1
75.82,87.42,67.02,73,Low,1
73.19,68.31,66.72,62,Medium,1
42.4,42.81,16.77,16,High,0
53.27,45.67,62.64,58,High,1
95.81,78.47,72.68,73,Low,1
74.68,74.65,86.25,60,Medium,1
52.85,47.08,51.52,49,High,1
57.51,60.25,49.2,39,Medium,1
70.82,50.14,40.36,12,High,1
99.25,64.95,79.53,65,Low,1
41.98,40.98,35.71,21,High,0
48.82,47.2,30.41,12,High,0
61.47,58.28,54.9,48,Medium,1
100.0,71.6,66.15,72,Low,1
82.51,69.12,70.32,65,Low,1
20.37,32.24,0.0,16,High,0
75.65,86.25,82.97,61,Low,1
77.49,70.71,68.69,54,Low,1
76.98,75.28,72.03,71,Low,1
86.0,92.31,62.6,61,Low,1
89.91,64.64,55.78,73,Medium,1
64.7,56.26,50.69,34,Medium,1
75.63,62.17,73.65,64,Low,1
66.32,90.48,61.26,64,Medium,1
75.1,63.02,57.48,87,Medium,1
55.71,26.55,16.21,10,High,0
74.21,65.42,58.29,50,Medium,1
72.47,74.5,72.8,90,Medium,1
82.72,71.08,73.66,44,Low,1
87.44,83.26,67.94,58,Low,1
57.92,67.96,46.68,17,Medium,1
84.25,66.6,77.78,83,Low,1
42.46,32.28,49.06,14,High,0
72.46,63.93,45.61,39,Medium,1
80.32,65.64,54.3,95,Medium,1
36.19,36.02,39.74,12,High,0
52.96,37.99,40.67,12,High,0
52.66,48.81,23.5,18,High,0
42.36,44.8,28.53,9,High,0
69.94,65.24,80.3,47,Medium,1
65.78,65.53,59.19,50,Medium,1
80.0,73.84,79.46,51,Low,1
78.62,87.36,75.55,47,Low,1
84.22,85.64,58.95,48,Medium,1
32.16,60.72,31.8,15,High,0
95.45,67.99,82.5,56,Low,1
75.31,69.49,73.66,88,Low,1
81.31,67.56,48.13,44,Medium,1
92.5,72.64,67.92,75,Low,1
37.26,66.01,50.25,24,High,0
80.92,86.11,77.68,49,Low,1
61.5,60.62,67.62,31,Medium,1
45.63,53.11,42.68,36,High,0
90.26,72.44,68.68,71,Low,1
93.12,73.78,87.95,89,Low,1
68.55,47.02,59.35,28,Medium,1
82.97,73.2,70.17,51,Low,1
31.92,28.93,33.05,26,High,0
81.89,54.61,79.96,76,Low,1
83.98,74.7,78.32,66,Low,1
77.17,80.35,60.71,69,Low,1
82.64,76.78,64.72,60,Low,1
77.67,75.6,82.34,49,Low,1
38.45,41.83,41.93,28,High,0
75.37,77.49,80.14,29,Low,1
57.89,58.74,70.37,35,Medium,1
64.41,51.54,46.21,29,Medium,1
50.54,58.95,51.03,41,High,1
64.68,66.83,54.14,32,Medium,1
90.31,78.04,83.79,56,Low,1
67.01,76.73,66.88,29,Medium,1
27.37,41.41,49.77,19,High,0
36.87,35.98,31.75,6,High,0
76.11,75.63,73.72,68,Low,1
82.05,65.5,75.85,62,Low,1
82.26,71.86,88.14,68,Low,1
49.16,42.02,54.13,5,High,1
80.68,84.45,71.18,31,Low,1
89.94,80.72,76.92,61,Low,1
76.7,57.76,78.87,83,Low,1
56.93,44.84,36.69,6,High,0
76.95,46.79,50.58,41,Medium,1
72.78,59.26,76.33,22,Medium,1
90.23,63.47,78.51,75,Low,1
52.01,48.07,61.7,12,High,1
83.13,82.8,74.28,64,Low,1
74.46,76.66,73.71,75,Medium,1
83.57,76.54,80.0,57,Low,1
78.91,76.94,88.54,61,Low,1
66.92,71.63,57.54,76,Medium,1
75.09,81.6,87.4,63,Low,1
65.83,53.33,46.93,35,Medium,1
91.31,81.8,76.51,67,Low,1
46.9,51.12,71.21,30,High,1
83.84,86.9,83.83,89,Low,1
74.28,74.24,69.69,28,Medium,1
66.43,58.44,73.65,27,Medium,1
78.48,56.34,70.02,33,Low,1
72.08,74.66,58.88,60,Medium,1
47.76,72.77,41.91,12,High,1
63.06,54.81,46.24,47,Medium,1
78.81,68.78,59.6,37,Medium,1
63.19,42.19,64.85,29,Medium,1
83.16,69.08,65.63,70,Low,1
64.33,72.31,63.12,63,Medium,1
86.1,72.65,83.04,82,Low,1
68.13,79.67,74.1,79,Medium,1
65.58,50.55,36.33,27,High,1
78.11,75.28,62.75,83,Low,1
69.71,66.46,75.24,26,Medium,1
54.05,71.92,52.25,38,High,1
20.17,31.68,13.14,23,High,0
72.8,47.09,50.48,21,Medium,1
30.43,34.84,37.64,12,High,0
91.71,60.53,64.75,79,Low,1
97.13,70.3,71.59,47,Low,1
36.29,34.76,35.58,13,High,0
67.57,71.16,71.16,68,Medium,1
52.85,38.71,42.82,1,High,0
66.83,46.2,72.3,38,Medium,1
91.82,67.7,66.41,62,Low,1
82.49,77.95,80.65,37,Low,1
53.92,32.7,51.85,48,High,1
60.52,45.24,54.67,28,Medium,0
44.89,43.04,43.08,22,High,0
79.11,76.24,66.01,78,Low,1
27.93,53.51,36.33,0,High,0
87.12,68.2,74.16,28,Low,1
38.76,39.34,40.71,18,High,0
76.66,55.96,53.51,47,Medium,1
44.31,39.78,31.95,22,High,0
60.9,50.53,67.6,28,Medium,1
33.79,51.44,43.67,19,High,0
69.21,52.06,62.67,49,Medium,1
69.5,57.73,45.3,33,Medium,1
80.47,69.61,72.96,62,Low,1
86.87,74.01,64.65,74,Low,1
80.71,68.32,63.02,53,Low,1
34.44,49.95,34.48,11,High,0
82.63,74.19,57.12,83,Medium,1
46.02,3.77,39.39,28,High,0
73.16,80.26,79.59,73,Medium,1
78.7,61.92,49.4,34,Medium,1
84.68,66.42,66.36,65,Low,1
73.74,80.6,64.2,55,Medium,1
87.83,70.09,81.25,55,Low,1
53.34,44.69,35.66,16,High,0
94.55,63.38,76.7,52,Low,1
65.68,58.89,57.17,27,Medium,1
60.62,59.4,59.49,33,Medium,1
82.14,69.6,61.01,57,Low,1
77.35,54.8,50.64,40,Medium,1
67.25,48.05,23.07,1,High,0
92.2,80.48,81.68,44,Low,1
75.91,71.37,77.43,56,Low,1
68.05,74.95,58.27,47,Medium,1
60.89,93.3,79.06,64,Medium,1
66.21,42.6,50.7,8,Medium,1
60.57,48.07,44.69,11,High,0
89.85,68.06,52.55,68,Medium,1
25.78,42.08,40.17,12,High,0
78.83,72.56,65.31,53,Low,1
81.14,74.17,74.08,46,Low,1
84.71,66.05,75.54,86,Low,1
61.3,73.81,43.83,25,High,1
38.84,17.97,41.29,18,High,0
40.13,20.71,39.4,30,High,0
88.73,69.06,91.69,36,Low,1
81.34,62.61,69.6,58,Low,1
42.58,43.98,31.49,1,High,0
66.57,62.26,55.21,27,Medium,1
74.31,80.65,84.53,82,Medium,1
52.97,54.87,54.99,19,High,1
85.76,79.71,70.62,51,Low,1
60.13,54.42,47.88,43,Medium,1
25.87,20.76,40.22,15,High,0
86.7,68.52,79.12,35,Low,1
57.9,52.02,38.21,35,High,0
80.48,74.85,77.26,94,Low,1
56.95,67.58,63.57,31,Medium,1
78.76,62.39,71.89,46,Low,1
79.07,77.55,72.1,75,Low,1
37.57,54.83,23.08,19,High,0
82.88,82.42,66.84,40,Low,1
61.53,65.3,62.23,75,Medium,1
62.48,69.34,43.31,20,High,1
86.64,80.27,69.74,56,Low,1
59.02,60.29,74.82,39,Medium,1
59.31,64.5,38.47,47,High,1
65.33,48.44,29.6,36,High,1
89.96,75.84,76.48,74,Low,1
77.71,78.32,60.31,46,Low,1
74.38,57.94,62.36,21,Medium,1
57.88,72.44,54.34,40,Medium,1
29.98,46.01,37.65,14,High,0
62.62,60.69,57.68,51,Medium,1
38.64,34.25,25.78,19,High,0
58.51,65.72,67.23,58,Medium,1
76.88,65.77,59.83,42,Medium,1
58.15,56.48,47.26,46,Medium,1
76.74,72.75,67.07,67,Low,1
53.15,63.21,71.72,29,High,1
77.78,76.75,71.56,65,Low,1
94.11,69.09,66.22,90,Low,1
68.71,73.33,58.95,51,Medium,1
65.88,61.96,54.08,37,Medium,1
56.87,45.0,64.13,44,Medium,1
49.25,67.26,62.21,16,High,1
67.77,68.47,67.87,32,Medium,1
61.73,41.76,53.79,40,Medium,1
69.2,57.76,53.08,37,Medium,1
22.73,34.73,58.81,10,High,0
64.13,45.08,62.59,28,Medium,1
84.87,78.54,65.71,51,Low,1
61.99,52.2,57.63,40,Medium,1
25.19,42.48,55.42,19,High,0
95.7,79.47,70.12,81,Low,1
88.48,71.84,81.96,74,Low,1
76.0,69.15,87.47,94,Low,1
36.25,18.72,28.02,14,High,0
81.87,70.06,84.99,46,Low,1
86.34,65.69,73.22,67,Low,1
84.64,65.32,64.57,109,Low,1
90.39,70.27,65.99,80,Low,1
51.37,55.7,45.63,37,High,1
85.34,80.78,73.57,67,Low,1
80.91,62.74,44.81,41,High,1
82.9,87.96,69.47,71,Low,1
79.7,93.41,75.9,44,Low,1
82.9,77.56,53.17,86,Medium,1
41.69,49.32,60.88,3,High,1
48.59,66.63,40.27,6,High,1
75.68,66.03,77.86,77,Low,1
60.52,76.08,71.59,53,Medium,1
74.58,60.81,74.34,39,Medium,1
16.97,37.76,33.89,25,High,0
38.43,30.4,36.17,23,High,0
38.69,51.29,43.45,14,High,0
77.52,83.6,67.57,36,Low,1
71.97,62.23,70.32,55,Medium,1
62.17,64.52,42.49,32,High,1
45.22,58.16,55.16,17,High,1
71.24,62.1,45.53,51,Medium,1
83.21,73.06,75.2,68,Low,1
79.42,59.91,65.35,22,Low,1
74.1,81.47,66.33,49,Medium,1
76.5,74.12,80.12,51,Low,1
55.3,47.16,49.05,5,Medium,1
64.47,46.24,45.15,42,Medium,0
69.79,78.94,81.4,73,Medium,1
88.08,76.08,67.15,49,Low,1
79.34,77.93,67.16,66,Low,1
55.98,36.05,46.51,16,Medium,0
76.34,75.0,82.45,52,Low,1
45.79,27.8,33.83,13,High,0
46.88,64.41,41.79,43,High,1
87.04,77.09,81.82,95,Low,1
61.61,61.06,59.99,10,Medium,1
59.47,61.68,31.9,42,High,1
64.34,51.47,68.08,49,Medium,1
80.72,89.7,72.03,80,Low,1
85.23,65.82,61.15,70,Low,1
83.2,54.65,58.77,53,Medium,1
30.24,76.74,22.66,11,High,0
48.47,61.07,57.45,10,High,1
75.54,72.81,80.38,68,Low,1
88.39,79.04,64.76,78,Low,1
45.46,40.9,52.5,13,High,0
78.12,72.35,65.28,62,Low,1
68.38,70.3,66.49,80,Medium,1
75.91,67.84,60.33,58,Low,1
78.96,76.66,79.93,59,Low,1
63.5,54.4,58.31,37,Medium,1
70.59,80.25,64.38,64,Medium,1
37.27,38.6,28.74,27,High,0
76.29,64.82,50.44,44,Medium,1
43.64,36.65,47.99,13,High,0
31.75,43.31,50.33,47,High,0
90.44,86.5,69.53,61,Low,1
45.14,24.94,32.43,35,High,0
71.61,72.77,42.15,37,High,1
74.73,68.28,75.98,58,Medium,1
39.71,26.74,39.87,23,High,0
82.93,67.24,75.61,72,Low,1
74.18,77.27,69.23,52,Medium,1
84.37,77.0,84.19,75,Low,1
72.53,73.75,63.81,50,Medium,1
81.44,81.12,86.32,61,Low,1
72.29,69.79,84.5,59,Medium,1
77.21,65.12,93.69,68,Low,1
73.87,37.16,73.97,31,Medium,1
69.57,71.59,74.24,51,Medium,1
77.63,70.4,83.31,56,Low,1
72.54,46.82,63.17,36,Medium,1
80.67,74.78,83.66,54,Low,1
86.04,75.57,78.26,43,Low,1
55.76,29.33,49.42,21,Medium,0
28.94,24.65,35.59,7,High,0
26.98,47.69,34.52,16,High,0
81.56,77.88,57.16,65,Medium,1
61.28,62.67,71.73,23,Medium,1
79.84,78.75,62.06,78,Low,1
78.06,83.78,69.67,70,Low,1
64.37,39.49,63.58,15,Medium,1
80.09,81.29,72.95,83,Low,1
84.09,66.1,52.62,45,Medium,1
86.05,64.96,93.71,87,Low,1
85.39,90.65,56.3,73,Medium,1
85.61,70.69,88.99,73,Low,1
67.08,82.23,75.87,71,Medium,1
79.37,69.33,81.35,42,Low,1
35.33,24.38,43.3,17,High,0
64.11,75.52,76.04,57,Medium,1
72.82,71.5,73.45,65,Medium,1
85.99,66.3,70.14,74,Low,1
62.84,51.7,30.96,48,High,0
69.28,44.28,47.2,31,Medium,1
91.26,84.29,70.51,54,Low,1
37.8,38.88,30.12,1,High,0
68.54,55.44,70.07,52,Medium,1
59.38,50.67,75.0,44,Medium,1
83.22,84.04,69.91,82,Low,1
80.29,73.55,82.97,35,Low,1
62.74,57.14,71.58,26,Medium,1
27.85,38.45,44.54,8,High,0
42.88,35.96,53.67,22,High,0
72.79,77.6,55.17,47,Medium,1
93.97,70.19,64.44,61,Low,1
84.75,77.93,68.78,62,Low,1
82.67,69.84,68.77,63,Low,1
65.31,57.11,54.59,14,Medium,1
21.19,44.09,23.75,21,High,0
72.8,57.01,48.37,40,Medium,1
87.09,69.61,54.13,55,Medium,1
75.8,50.74,68.63,49,Low,1
67.52,46.14,61.69,43,Medium,1
80.64,64.77,56.23,59,Medium,1
94.54,67.12,76.73,47,Low,1
38.09,27.97,27.22,2,High,0
70.17,67.73,50.87,49,Medium,1
76.43,64.43,80.04,78,Low,1
38.64,18.09,19.92,28,High,0
57.16,54.28,59.81,37,Medium,1
59.63,43.55,45.62,8,Medium,1
78.83,81.2,76.06,82,Low,1
81.23,67.17,36.08,56,High,1
75.87,65.6,78.82,85,Low,1
90.58,76.6,69.42,33,Low,1
86.27,65.43,89.2,45,Low,1
83.75,74.62,86.6,94,Low,1
82.0,60.65,81.53,62,Low,1
74.02,82.29,89.11,68,Medium,1
66.52,61.68,56.63,24,Medium,1
77.13,75.35,67.82,20,Low,1
87.67,75.85,77.82,61,Low,1
61.22,60.77,40.73,25,High,1
38.39,40.96,44.2,7,High,0
79.18,42.11,39.72,27,High,1
77.05,85.35,49.61,84,Medium,1
75.46,60.94,82.85,82,Low,1
61.01,60.17,43.72,48,High,1
65.0,68.83,63.2,52,Medium,1
47.62,54.39,59.58,34,High,1
56.47,58.85,67.99,62,Medium,1
26.76,39.97,29.34,5,High,0
88.69,75.91,75.11,84,Low,1
78.66,44.34,53.36,41,Medium,1
79.01,72.76,78.9,80,Low,1
72.6,71.72,86.32,75,Medium,1
83.74,66.17,71.21,70,Low,1
60.06,62.58,44.22,21,High,1
80.29,81.68,86.25,48,Low,1
75.77,77.2,73.18,63,Low,1
47.03,72.9,45.83,30,High,1
61.41,79.65,68.1,37,Medium,1
83.48,85.13,73.12,53,Low,1
88.43,73.41,71.32,94,Low,1
91.62,76.54,71.59,52,Low,1
69.34,59.95,53.91,40,Medium,1
66.87,62.73,70.17,33,Medium,1
88.75,89.93,64.51,56,Low,1
62.66,66.07,51.77,17,Medium,1
91.67,76.02,84.46,71,Low,1
49.78,75.47,55.57,41,High,1
70.05,45.12,58.22,36,Medium,1
49.56,59.32,48.48,37,High,0
80.32,70.18,60.7,63,Low,1
41.24,54.61,52.82,37,High,0
82.08,87.57,89.08,67,Low,1
67.24,47.16,30.66,20,High,0
82.96,81.82,53.05,82,Medium,1
60.87,71.41,72.99,72,Medium,1
91.07,71.38,70.08,72,Low,1
50.96,84.45,45.13,19,High,1
37.82,33.98,19.16,16,High,0
77.22,82.62,67.01,88,Low,1
45.4,30.45,42.52,24,High,0
83.26,74.05,75.59,52,Low,1
79.73,69.35,61.44,62,Low,1
91.14,60.14,61.38,68,Low,1
51.42,64.79,46.06,34,High,1
48.79,62.34,61.76,56,High,1
73.28,46.88,54.61,28,Medium,1
46.53,59.2,54.98,32,High,1
74.73,79.12,73.11,63,Medium,1
88.82,90.96,77.21,27,Low,1
82.4,75.83,81.67,68,Low,1
60.71,34.74,38.88,20,High,0
75.68,67.48,62.4,96,Low,1
76.2,75.6,58.6,66,Medium,1
23.24,52.82,44.85,32,High,0
69.8,59.99,62.14,30,Medium,1
85.61,90.4,72.01,76,Low,1
56.93,41.07,61.16,37,Medium,1
57.99,48.14,51.87,49,Medium,1
65.22,43.39,47.44,13,Medium,1
88.11,61.66,66.31,73,Low,1
58.1,31.69,17.39,4,High,0
76.17,67.51,61.97,68,Low,1
77.48,77.39,74.98,67,Low,1
77.3,59.6,79.34,30,Low,1
40.45,44.09,52.64,20,High,0
78.59,82.24,79.85,47,Low,1
39.56,61.68,32.44,22,High,0
61.66,64.03,45.64,64,Medium,1
85.03,77.02,66.66,69,Low,1
74.37,66.72,51.53,28,Medium,1
82.58,75.5,59.53,76,Medium,1
76.16,77.39,72.36,43,Low,1
60.22,81.54,72.14,80,Medium,1
42.29,37.82,35.62,21,High,0
93.19,70.94,76.59,57,Low,1
96.62,80.86,64.55,34,Low,1
64.97,58.21,52.49,42,Medium,1
78.73,68.28,76.69,69,Low,1
82.27,65.67,60.9,42,Low,1
88.46,84.02,67.97,54,Low,1
76.38,58.28,52.66,53,Medium,1
45.56,30.24,47.7,15,High,0
45.46,33.25,18.53,9,High,0
54.36,30.62,27.12,0,High,0
89.36,71.59,71.86,78,Low,1
38.26,38.2,32.75,5,High,0
78.92,76.31,63.98,69,Low,1
60.32,63.86,50.46,38,Medium,1
94.56,74.55,66.25,51,Low,1
70.3,64.26,73.44,51,Medium,1
93.57,74.13,79.11,84,Low,1
72.44,63.88,55.86,59,Medium,1
86.46,72.93,75.63,56,Low,1
77.48,64.59,76.39,82,Low,1
72.0,65.14,59.38,84,Medium,1
28.99,28.38,32.97,9,High,0
91.47,87.39,63.13,86,Low,1
86.27,69.8,76.44,84,Low,1
73.12,83.18,73.29,56,Medium,1
70.93,70.38,64.9,64,Medium,1
85.78,72.29,77.96,52,Low,1
66.22,44.1,56.74,21,Medium,1
68.81,56.64,61.8,53,Medium,1
68.64,76.41,73.58,37,Medium,1
35.09,5.2,46.08,11,High,0
46.78,30.4,12.2,10,High,0
66.6,63.71,63.63,42,Medium,1
90.75,87.35,63.52,89,Low,1
72.92,77.9,74.67,89,Medium,1
55.69,43.01,53.99,33,Medium,1
82.48,81.6,62.88,77,Low,1
80.83,81.68,76.16,47,Low,1
80.19,64.58,34.54,45,High,1
44.36,35.81,26.96,17,High,0
91.32,73.3,79.68,59,Low,1
40.27,36.64,20.37,18,High,0
53.32,63.21,61.93,12,High,1
89.04,74.39,78.92,55,Low,1
100.0,84.02,61.65,70,Low,1
24.05,44.27,39.49,18,High,0
90.93,86.06,69.76,102,Low,1
68.56,63.53,48.97,58,Medium,1
85.55,60.38,76.96,62,Low,1
88.56,57.38,69.12,89,Low,1
100.0,77.02,71.1,41,Low,1
80.99,70.09,77.7,65,Low,1
66.18,51.26,67.95,32,Medium,1
69.35,91.36,59.19,37,Medium,1
79.79,67.47,73.96,60,Low,1
75.16,66.62,39.42,21,High,1
55.36,46.45,64.61,34,Medium,1
99.63,81.46,68.26,75,Low,1
92.96,60.94,74.12,56,Low,1
87.68,85.7,76.04,79,Low,1
67.5,66.09,50.64,25,Medium,1
91.02,78.58,65.66,41,Low,1
64.07,55.54,42.09,33,High,1
61.38,74.79,33.97,50,High,1
42.96,29.69,34.32,20,High,0
43.94,26.82,55.47,13,High,0
90.14,80.16,77.84,77,Low,1
77.0,84.81,79.98,64,Low,1
54.66,37.76,28.21,5,High,0
79.18,74.3,50.9,32,Medium,1
72.73,60.55,73.08,55,Medium,1
90.0,68.12,86.91,61,Low,1
62.18,58.98,56.69,34,Medium,1
9.44,47.43,58.3,17,High,0
63.14,69.88,65.11,64,Medium,1
57.84,46.32,30.79,8,High,0
19.66,41.35,51.9,13,High,0
77.17,81.89,65.59,41,Low,1
85.68,72.6,60.04,64,Low,1
74.76,60.78,49.4,24,Medium,1
81.22,65.14,60.22,94,Low,1
74.37,34.13,49.55,48,Medium,0
42.13,46.73,14.36,11,High,0
86.84,74.88,66.36,72,Low,1
77.35,71.94,70.56,71,Low,1
83.17,74.36,77.03,92,Low,1
84.88,80.8,42.06,30,High,1
81.68,88.95,75.78,69,Low,1
